File,NHTS2001,NHTS2017,Notes
veh,HOUSEID,HOUSEID,
veh,VEHID,VEHID,
veh,BESTMILE,BESTMILE,
veh,EIADMPG,FEGEMPG,
veh,GSCOST,GSCOST,
veh,VEHTYPE,VEHTYPE,
veh,VEHYEAR,VEHYEAR,
veh,VEHMILES,ANNMILES,
day/trip,HOUSEID,HOUSEID,
day/trip,TDCASEID,TDCASEID,
day/trip,VEHID,VEHID,
day/trip,VEHUSED,VEHID,
day/trip,TRPHHVEH,TRPHHVEH,
day/trip,PERSONID,PERSONID,
day/trip,NUMONTRP,NUMONTRP,
day/trip,TRPTRANS,TRPTRANS,
day/trip,TRPMILES,TRPMILES,
day/trip,TRVL_MIN,TRVLCMIN,
day/trip,DWELTIME,DWELTIME,
day/trip,PSGR_FLG,PSGR_FLG,
day/trip,WHYFROM,WHYFROM,
day/trip,WHYTO,WHYTO,
day/trip,VEHTYPE,VEHTYPE,
person,HOUSEID,HOUSEID,
person,PERSONID,PERSONID,
person,COMMDRVR,NA,
person,NBIKETRP,NBIKETRP,
person,NWALKTRP,NWALKTRP,
person,USEPUBTR,USEPUBTR,
person,WRKDRIVE,NA,
person,WRKTRANS,WRKTRANS,
person,WORKER,WORKER,
person,DTGAS,,PRICE from HH file
person,DISTTOWK,DISTTOWK17,
person,DRIVER,DRIVER,
person,R_AGE,R_AGE,
person,R_SEX,R_SEX,
hh,HOUSEID,HOUSEID,
hh,AGE_P1,,From person table
hh,AGE_P2,,From person table
hh,AGE_P3,,From person table
hh,AGE_P4,,From person table
hh,AGE_P5,,From person table
hh,AGE_P6,,From person table
hh,AGE_P7,,From person table
hh,AGE_P8,,From person table
hh,AGE_P9,,From person table
hh,AGE_P10,,From person table
hh,AGE_P11,,From person table
hh,AGE_P12,,From person table
hh,AGE_P13,,From person table
hh,AGE_P14,,From person table
hh,CENSUS_D,CENSUS_D,
hh,CENSUS_R,CENSUS_R,
hh,DRVRCNT,DRVRCNT,
hh,DRV_P1,,From person table
hh,DRV_P2,,From person table
hh,DRV_P3,,From person table
hh,DRV_P4,,From person table
hh,DRV_P5,,From person table
hh,DRV_P6,,From person table
hh,DRV_P7,,From person table
hh,DRV_P8,,From person table
hh,DRV_P9,,From person table
hh,DRV_P10,,From person table
hh,DRV_P11,,From person table
hh,DRV_P12,,From person table
hh,DRV_P13,,From person table
hh,DRV_P14,,From person table
hh,EXPFLHHN,WTHHFIN,
hh,EXPFLLHH,WTHHFIN,
hh,FLGFINCM,,"Assume all captured, yes"
hh,HBHRESDN,HBRESDN,
hh,HBHUR,HBHUR,
hh,HBPPOPDN,HBPPOPDN,
hh,HHC_MSA,HH_CBSA,From msa_xwalk of HH_CBSA
hh,HHFAMINC,HHFAMINC,
hh,HHINCTTL,HHFAMINC,
hh,HHNUMBIK,NA,"Assume -8, missing"
hh,HHR_AGE,,From persons table 
hh,HHR_DRVR,,From persons table 
hh,HHR_RACE,HH_RACE,From persons table 
hh,HHR_SEX,,From persons table 
hh,HHSIZE,HHSIZE,
hh,HHVEHCNT,HHVEHCNT,
hh,HOMETYPE,NA,"Assume -8, missing"
hh,HTEEMPDN,HTEEMPDN,
hh,HTHRESDN,HTRESDN,
hh,HTHUR,HBHUR,
hh,HTPPOPDN,HTPPOPDN,
hh,LIF_CYC,LIF_CYC,
hh,MSAPOP,NA,Imputed as mean value of bin
hh,MSACAT,MSACAT,
hh,MSASIZE,MSASIZE,
hh,RAIL,RAIL,
hh,RATIO16V,,From persons and hh table
hh,URBAN,URBAN,
hh,URBRUR,URBRUR,
hh,WRKCOUNT,WRKCOUNT,
hh,WKR_P1,,From person table
hh,WKR_P2,,From person table
hh,WKR_P3,,From person table
hh,WKR_P4,,From person table
hh,WKR_P5,,From person table
hh,WKR_P6,,From person table
hh,WKR_P7,,From person table
hh,WKR_P8,,From person table
hh,WKR_P9,,From person table
hh,WKR_P10,,From person table
hh,WKR_P11,,From person table
hh,WKR_P12,,From person table
hh,WKR_P13,,From person table
hh,WKR_P14,,From person table
hh,CNTTDHH,CNTTDHH,
